c,rho_requested,rho_effective,N,sigma,delta,k,max_round,rounds_baseline,reps,p,num_honest,num_corrupted,successes,p_hat,ci95_lo,ci95_hi,cond_old,cond_new
0.5,0.351,0.35,100,0.1,5,3,182,200,100,0.004,65,35,6,0.06,0.02778574526665662,0.12476968531222507,False,False
0.5,0.301,0.3,100,0.1,5,3,167,200,100,0.004,70,30,6,0.06,0.02778574526665662,0.12476968531222507,False,False
0.5,0.251,0.25,100,0.1,5,3,154,200,100,0.004,75,25,8,0.08,0.04109296948581092,0.1499826687940307,False,False
0.5,0.201,0.2,100,0.1,5,3,143,200,100,0.004,80,20,6,0.06,0.02778574526665662,0.12476968531222507,False,False
0.5,0.101,0.1,100,0.1,5,3,125,200,100,0.004,90,10,4,0.04,0.01566305055184801,0.09837217232607375,False,False
0.5,0.151,0.15,100,0.1,5,3,134,200,100,0.004,85,15,2,0.02,0.005501852234968185,0.07001316294199365,False,False
0.5,0.051,0.05,100,0.1,5,3,118,200,100,0.004,95,5,4,0.04,0.01566305055184801,0.09837217232607375,False,False
0.5,0.001,0.01,100,0.1,5,3,113,200,100,0.004,99,1,3,0.03,0.01025433822341481,0.084520780804027,False,True
0.5,0.449,0.45,100,0.1,5,3,223,200,100,0.004,55,45,16,0.16,0.10095202349473717,0.24420444558894414,False,False
0.5,0.401,0.4,100,0.1,5,3,200,200,100,0.004,60,40,9,0.09,0.04807199516388488,0.16226374696643667,False,False
0.727273,0.051,0.05,100,0.1,5,3,172,200,100,0.0027499989687503872,95,5,2,0.02,0.005501852234968185,0.07001316294199365,False,True
0.727273,0.201,0.2,100,0.1,5,3,208,200,100,0.0027499989687503872,80,20,7,0.07,0.034318824364064096,0.13749671006529757,False,False
0.727273,0.251,0.25,100,0.1,5,3,224,200,100,0.0027499989687503872,75,25,6,0.06,0.02778574526665662,0.12476968531222507,False,False
0.727273,0.151,0.15,100,0.1,5,3,194,200,100,0.0027499989687503872,85,15,1,0.01,0.001767386565547261,0.0544875247609346,False,False
